Type,URL,Canonical_URL,Self_Canonicalizing,Has_Foreign_Domain
HI Tool,https://www.welovepdf.best/hi/header-footer,https://www.welovepdf.best/hi/header-footer,True,False
HI Tool,https://www.welovepdf.best/hi/metadata-editor,https://www.welovepdf.best/hi/metadata-editor,True,False
HI Tool,https://www.welovepdf.best/hi/flatten-pdf,https://www.welovepdf.best/hi/flatten-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/annotate-pdf,https://www.welovepdf.best/hi/annotate-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/redact-pdf,https://www.welovepdf.best/hi/redact-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/compare-pdf,https://www.welovepdf.best/hi/compare-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/bookmark-editor,https://www.welovepdf.best/hi/bookmark-editor,True,False
HI Tool,https://www.welovepdf.best/hi/compress-pdf,https://www.welovepdf.best/hi/compress-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/compress-pdf-to-100kb,https://www.welovepdf.best/hi/compress-pdf-to-100kb,True,False
HI Tool,https://www.welovepdf.best/hi/compress-pdf-to-200kb,https://www.welovepdf.best/hi/compress-pdf-to-200kb,True,False
HI Tool,https://www.welovepdf.best/hi/compress-pdf-to-50kb,https://www.welovepdf.best/hi/compress-pdf-to-50kb,True,False
HI Tool,https://www.welovepdf.best/hi/compress-pdf-to-500kb,https://www.welovepdf.best/hi/compress-pdf-to-500kb,True,False
HI Tool,https://www.welovepdf.best/hi/compress-pdf-for-ssc-upsc,https://www.welovepdf.best/hi/compress-pdf-for-ssc-upsc,True,False
HI Tool,https://www.welovepdf.best/hi/grayscale-pdf,https://www.welovepdf.best/hi/grayscale-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/repair-pdf,https://www.welovepdf.best/hi/repair-pdf,True,False
HI Tool,https://www.welovepdf.best/hi/remove-hidden-data,https://www.welovepdf.best/hi/remove-hidden-data,True,False
HI Tool,https://www.welovepdf.best/hi/deskew-scan,https://www.welovepdf.best/hi/deskew-scan,True,False
